params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"T(c1[nH]ncc1)O/[C@H]=C(SOSN=CC(T)CBr)\T__",,#fail: 33,execution time (ms): 53183
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"Br\[C@@]=C(c1c2(SOOSC=N[C@H]2(R))ccc1X)/O",,#fail: 4,execution time (ms): 93254
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"F\C(c1nscc1N2TN(Cl)TCTTC2(=C=CBr))=[N+]/T_",,#fail: 20,execution time (ms): 67417
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"RCC1(TS[TH+]CSCN1(Cl))S[C@]\N=C(CCCCCBr)/T",,#fail: 5,execution time (ms): 57308
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"N#[N+][N+]=C(R)OO[TH+]SC[N+]C(=CCI)[TH3+]",,#fail: 255,execution time (ms): 190035
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"CC#[N+]N=CCTTC=NN=[N+]TOCTC=CC(I)=CCCCCF",,#fail: 286,execution time (ms): 257115
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"Cl\[N+](X)=[C@@](c1c2c([N+]TS2)sc1Br)\[N+]",,#fail: 110,execution time (ms): 141045
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"Br/[TH+]=[C@](c1[nH]c2c(TC(I)CT2)c1OCCl)\S",,#fail: 2,execution time (ms): 40646
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"RO\C=[C@](N=N[N+]T([TH+]S/N=C\C(=CF)))/S",,#fail: 7,execution time (ms): 130920
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"RN1S[C@@H][C@@H]N(N=S)ON(CCBr)[C@H]1_____",,#fail: 0,execution time (ms): 86343
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,"N#CO[N+]#Cc1onnc1OC[C@@]OTC#C[C@@](=C)TBr",,#fail: 167,execution time (ms): 146510
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"Cl/N=C(O\C=C(T[C@H](STCX)R)\C(SX))\[C@@H]",,#fail: 261,execution time (ms): 374504
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"S=[C@]c1cnsc1S\C=[N+]/[N+]______________",,#fail: 486,execution time (ms): 640912
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"ClN1T[C@]TN=[TH+]C2(CN(Cl)[TH+]C2(Cl)(R))N1",,#fail: 101,execution time (ms): 117559
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"I\C=[N+](T/[N+]=N/C(OCC(TC1(TTR))C1I))/S",,#fail: 5,execution time (ms): 103932
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"R/C=C(COTCO/[TH+]=N\C1(C(R)CCC[C@@]1))\S",,#fail: 11,execution time (ms): 70018
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"c1[nH]cc(X)c1C[C@@](CX)c2cc(ON3(X))c3n2T",,#fail: 2079,execution time (ms): 918348
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"RN=Cc1nonc1O[N+]=[TH+]T[C@H](I)C2(Br)CCS2",,#fail: 5,execution time (ms): 58897
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"TC#COSSTON(F)TT[C@]=C=CC1CC[C@](=C=CI)N1",,#fail: 37,execution time (ms): 93578
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"c1occc1N=CCS\N=C(O/N=N\[C@H](N(SCF)Br))/O",,#fail: 103,execution time (ms): 182826
