params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,S1CTON=NC2(STN(O([C@]))[C@@]2([C@]))N1__, 204, 88, 48536
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -200 -100 true,BrC(SC1C(ON2C(OC)N(C3TOC(SCT)C3)C2)CCT1)Cl, 54, 11, 33375
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,FCOCC1(N(C=CO(C))C1)C(=CTN(C)N=COTCCX)T_, 572, 269, 54399
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,[C@H]\[C@H]=[N+](OOS\N=[N+]([C@H]F)/T)/S, 26, 0, 25408
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,C1(C([N+]I)STCC(Cl)C#CT)N(C[TH+]OCT)COT1_, 15230, 7599, 365633
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,[C@]\[TH+]=C(c1oc(N(C)X)nc1C(OF)=O)\[C@], 256, 103, 80628
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -400 -300 true,CCOOC(SC1(N(N(CC)OC)CON(OC[C@@])(TC)))C1, 2227, 1099, 103459
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,N1=[C@@]CTTC2(ON(C3(TC3)C4(CF))N4T2)SN1_, 384, 165, 97834
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,Ic1[nH]c2c([TH+]TO[TH+]N(R)[C@@]2)c1OSI_, 53, 15, 20943
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,C(OOC(TTCC#CCTOTOC=[N+]=CCCC)(F)C(C)C)R_, 45, 6, 45638
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -200 -100 true,C1CC(CC(C2TCOC2)TC3OC(C4TCTC=C4)TOC3)CC1, 867, 41, 518042
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 100 200 true,C1CC(C2TC(C(CCCC=CCCCOCCC3TOTC3))TC2)TC1, 42, 1, 51952
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,ClCC1OSCCTC(N2C(CX)CSCN(OCCT)OC2(CCCC))C1, 39, 4, 30853
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,CCTTN1C(C(SN(C(C(=CC=COF)C)I)TT2)C2)TOC1, 36, 0, 31175
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,[C@@H]c1n(R)ccc1CN(F)c2[nH]cnc2SCC(TI)=O, 274, 110, 55382
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,TTCTC(Cl)=NCTCOOCOOCC1=C(C)CC(CCC[C@@])T1, 2943, 1455, 129271
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C=C(C(R)=S)OC(F)(OTCC(SN=C(C))F)N1TCTCC1, 873, 419, 54855
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,TSC(SC)(C1(CC(T([C@@H]))(T)N1)(TT))SCC__, 6487, 3227, 320137
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,FS[N+]/C=C(c1oncc1O/N=C\N([TH+][TH+]))/T, 198, 87, 54704
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,N#[C@]N1CTC2(N(N=C=T)C[C@H][C@@H]2)TTTS1, 66, 17, 48625
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C(CTCSCSC1(CCCN1)SR)STCC(STC2(C3C=C3))C2, 101, 34, 32353
40 maxMarginalLDS true false 2 1 1800 1750 2250 -200 -100 true,T(C(CC(CC(OC(C(C#C(COC)))(=C)))))C1TTTT1, 308, 22, 66613
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C1(OOTOCCN2CCC(ON3N(C[C@]C4)C4N3)C2)TCC1, 61, 14, 40318
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,N#[N+]N=NS(=O)(=O)/C(CN=N[N+])=[C@@H]/C_, 49, 12, 58151
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,S=NN=COSSSTO\[TH+]=[C@](C[C@@](=C)I)\C__, 140, 55, 46601
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,CN(TC=NC(C=CR)[C@@](C)(X)T)N1CC(OC)TC=C1, 692, 330, 79456
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,ClS/N=[C@](N1TC(CT)CC1(C(c2cnnn2[N+])))/S, 143, 56, 45152
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,XS(=O)(=O)C\[TH+]=C(c1snc(Br)c1T[C@@]I)/T, 42, 11, 27379
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,[C@@H]N(CCR)TC\[TH+]=[N+](CTTC#CCI)/[N+], 37, 5, 36073
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,C(X)[C@H](C)S[TH+]S/C(c1nonc1TC(I)F)=C\O, 50, 11, 29179
40 maxMarginal true false 2 1 1800 1750 2250 -400 -300 true,T(COCC(CC(C(C(C(C(C(#C))F)=C)))))C1TTTT1, 138, 49, 38940
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,C(O(N(C(N1COC1)(C=[C@@H]))TOTOCCT))(C)=T, 176, 70, 41316
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,TSc1[nH]c2c(N(SN=S(=O)(=O))N(C=C)CC2)c1Cl, 32, 5, 24598
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,IC(C)C(SN1TCSN(C)TC(C=O)(TCTCCR)C1)=[C@], 28519, 14245, 534781
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,T(C(CN(T)[C@@](#C))(C)X)CCN1CN=NTOC(C)O1, 83, 24, 49270
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,S1OTOTS[C@@](=CT/[C@@](I)=[C@]/S)[C@@H]1, 252, 101, 56283
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,O1C2(N=NN2)[C@H]TTO[C@@H](S\N=C(CBr)\C)S1, 32, 1, 30624
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,RSOc1nn[nH]c1c2nscc2c3sncc3c4c(F)cccc4Cl_, 268, 114, 63703
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,BrN(SSCN=C(CTN1CCOT1)T(C2C(OC)=C2))C(C)F_, 1928, 948, 100765
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,XSc1sncc1N2SSC=NN=C(CC\C=[C@@]/[C@@H])T2, 91, 31, 35979
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,CTCOTC(SN(CC1CCCT1)C(SCl)C#N)=Cc2csc(F)n2, 28481, 14224, 539121
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,Tc1snc(F)c1c2[nH]c(X)nc2C=C[TH+]3[TH+]S3, 350, 153, 71978
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,c1[nH]nc(I)c1N2C[C@@H][C@]C3(N(R)CC3)N2_, 31, 1, 19336
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,N(F)=N[C@]O[TH+](S[C@H])[C@@]TST[C@H]TTCl, 3005, 1439, 353609
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,I[C@H]C\[C@@H]=C(Sc1n(F)c(Cl)nc1[TH+]F)/S, 36, 5, 29452
40 maxMarginalLDS true false 2 1 1800 3750 4250 100 200 true,C1CC(CC2CCTCC2(C(C3COCSC3)CCTCOCOCC))SC1, 90, 8, 43097
40 maxMarginal true false 2 1 1800 2750 3250 100 200 true,C(C(C(CSCSC=C(CCCCCCC=C(C)))T))TCC1TTTC1, 41, 0, 31326
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,TN(C1[C@]C1(C2=CTOC2(TC=C=C=C=NCl)(C)))T_, 193, 78, 52774
