params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,[N+]CTCSTTCN(TCl)TN(CC1[C@]C1)CCCCCC=C=O_, 39, 7, 147888
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -200 -100 true,C1TC(C(C(#C(C(COC)COCOCOT)))SC2TCTC2)TC1, 39, 0, 279812
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 100 200 true,C1TC(C(C(CC(C(CCCSCOCCC)T)))OC2TOTC2)TC1, 39, 0, 321322
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C(OOCTCSTSSS(C(C(OC[C@]))C(C)F))C1CCCCS1, 35, 0, 118067
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,FC1OSOC(C(C(STTCCCTSSC)C)C(CC)(C)Cl)(X)C1, 151, 56, 149447
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,ClS\C=[N+](CCN(X)/C(TBr)=C(T[TH+]SCBr)/S)\T, 34, 3, 184629
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 100 200 true,RSC1[C@@]([C@](CTCC2SCC2)C3C=CCTN=N3)OC1, 37, 0, 189840
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,O1COTC(TTC2N=C(CC)CTC2)(OCC(#CN3CS3))C1_, 81, 22, 178134
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,C(C1(COC(TC=C(X))R)TN([C@](CCC)=C)OT1)OC, 1659, 815, 669250
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,T1ON=C[C@@]N(C=[C@](=C))[N+](OTSO2)=C2T1, 84, 28, 157548
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 100 200 true,C(#CON(SCC1CCCCO1)C(COCC[C@])TC2STOC2)TCl, 34, 0, 131990
40 maxMarginalLDS true false 2 1 1800 1750 2250 -200 -100 true,T(C(C(C1C(C(C2CTCTC2)C3SOC3)TTC1)))C____, 41, 0, 245627
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,CCON(C(C(TCTC(TF))COTC[N+]=CN1C=COC1)Cl)C, 105, 34, 148975
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,c1sc2c(N(X)N(N=O)[TH+]O[C@]=C2(I))c1TTBr_, 504, 231, 551102
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,CCC(TCTN(C1=C[C@@H]1(F))TN2TTC2)=CC3COC3, 845, 406, 502065
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 true,Cl[TH+]S/C(R)=[C@@]([TH+]C=[N+]TSTO(Br))\S, 252, 103, 504080
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,Fc1[nH]nnc1CN=NCN=[TH+]N=C(I)[C@](=C)N=S, 309, 130, 472897
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,S=[TH+][C@@]1(TC[N+]=[C@@]1)OS/C=C(CBr)\S, 29, 1, 242238
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,R/N=C([N+]T\[C@@]([C@](CCI)I)=C\[C@@])\O, 293, 120, 492207
40 maxMarginal true false 2 1 1800 1750 2250 -400 -300 true,T(C(C(C1C(C(C#COC2COOTC2)CX)TTC1)))C____, 44, 3, 217251
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,T1OTTCC2(TCOC2(CC(OOT)(C(=[C@](=C)))))S1, 637, 302, 424829
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,O=NN1C2(CTON(TCl)C(=C)SS2)[C@H][C@H]S1___, 34, 1, 179727
