[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------------< minicpbp:minicpbp >--------------------------
[INFO] Building minicpbp 1.0
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.1.0:java (default-cli) @ minicpbp ---
nb eq ; ineq 4 ; 0
maxMarginal
c Warning: method updateBelief not implemented yet for LinEqSystemModP constraint. Using uniform belief instead.
[INFO] Now solving
No restarts
TTCSC(C)CTC(C)CTC(CC=C(CCCOCR))C________ weight of 2701 logP of 0
T(C)C(C)CTC(C)CTC(CC=C(COCCCX))C________ weight of 2380 logP of 0
XOC(C(C#CTC(C#CTC=CCTC(C)C)CC))C________ weight of 2300 logP of 0
TTTSC(C=CTC(C(CTC)CCCC(CCC)CC))C________ weight of 2681 logP of 0
XCSTC(C(CTC(C=CTC)CCOC(C#C)CT))C________ weight of 2521 logP of 0
T(R)C(CCCTC(CTCTC#CCOC(C#C)CC))C________ weight of 2320 logP of 0
XTTCC(C)CTC(COCTCCCC#C(C#CCCC))C________ weight of 2600 logP of 0
C=CCC(C)CTC(C=CTCTCCSC(C=CTCT))C________ weight of 2641 logP of 0
ROC=C(C#CTC(CCCTC(CC#C)CCC(C)))C________ weight of 2440 logP of 0
FCSTC(C=CTC(C(CTCTCCTC)C#C(C)))C________ weight of 2541 logP of 0
FCCTC(CTCTC(CCCTC=CC=C)C#C(CX))C________ weight of 2480 logP of 0
XCN(C(C)CTC(CCCTCCCCOC)CTC(CX))C________ weight of 2690 logP of 0
FOCCC(C)CTC(C(CTCOCC#C)C#C(CR))C________ weight of 2660 logP of 0
TTCSC(C(CTC(C#CTC=CC)C)C#C(CC))C________ weight of 2461 logP of 0
COCTC(C(CTC(CSCTC=CCTC#C)C(C)))C________ weight of 2661 logP of 0
C(C=C(C)CTC(C#CTCTCCCCTCOC(C)))C________ weight of 2480 logP of 0
RC=NC(C)CTC(CTCTC(CC=CCCOC(C)))C________ weight of 2510 logP of 0
T=CSC(CCCTC(CCCTC#CC=COC#C(C)))C________ weight of 2741 logP of 0
RON=C(C(CTC(C)CTCTCCTCSCCC(C)))C________ weight of 2711 logP of 0
C(CSC(C=CTC(C=CTC=CC)C=C)C(CX))C________ weight of 2481 logP of 0
XC(=C(C)CTC(COCTCCCC=C=C)C(CF))C________ weight of 2520 logP of 0
T=CCC(C#CTC(C=CTCTCC=CTC)C(CF))C________ weight of 2320 logP of 0
C(CSC(C)CTC(CTCTC=CC#CTC)C(CR))C________ weight of 2501 logP of 0
TON=C(C(CTC(COCTCOCC)COC)C(CR))C________ weight of 2730 logP of 0
T(C=C(C)CTC(COCTCTCCOCOC)C(CR))C________ weight of 2560 logP of 0
XON=C(C#CTC(CCCTC#CCCCOC)C(CC))C________ weight of 2750 logP of 0
C(=NC(CTCTC(C#CTC)CCTC#C)C(CF))C________ weight of 2330 logP of 0
C(#CC(CTCTC(C)CTC=CC)C=CTC(CR))C________ weight of 2160 logP of 0
FOSOC(C=CTC(C=CTC=CC)C#CTC(CR))C________ weight of 2681 logP of 0
ROTOC(C#CTC(CTCTCCCC)C#COC(CC))C________ weight of 2640 logP of 0
RC=NC(C=CTC(C#CTC)CC=C=C=C(CF))C________ weight of 2290 logP of 0
FCCCC(C=CTC(C=CTC)CC#CTCTC(CX))C________ weight of 2480 logP of 0
ClCOCC(C#CTC(C)CTCTCC#CTC#C(CT))C________ weight of 2625 logP of 0
C=NTC(C)CTC(C=CTCTCCCCTC=C(CC))C________ weight of 2470 logP of 0
FOC(C(CCCTC(C)CTC)CC=CCCTC(CX))C________ weight of 2700 logP of 0
CCN=C(CTCTC(CTCTC)CCCC#CCC(CT))C________ weight of 2610 logP of 0
CTCCC(COCTC(C#CTC)CC#CSC#C(CX))C________ weight of 2741 logP of 0
XOOOC(C#CTC(C)CTC=CC#CSC=C(CT))C________ weight of 2641 logP of 0
RSN(C(CCCTC(C#CTCTCC=C=CCC)CX))C________ weight of 2631 logP of 0
S(TTC(C=CTC(C)CTC=CC=C=CSC#CR))C________ weight of 2482 logP of 0
S=COC(C=CTC(C(CTCCCC=C)CTC=CT))C________ weight of 2641 logP of 0
CC(CC(C(CTC(C#CTCTCC=C)CSC)CX))C________ weight of 2641 logP of 0
CSC(C(C=CTC(C=CTC(CC=C)C#COC)))C________ weight of 2621 logP of 0
TOOCC(C#CTC(COCTC(CC=CTC=C)CF))C________ weight of 2680 logP of 0
XN(OC(C)CTC(C(CTC=CC=CTC)CTCF))C________ weight of 2410 logP of 0
S(Cl)C(C=CTC(C=CTC(CC=CTC)CTCT))C________ weight of 2566 logP of 0
C=C=C(C(CTC(C)CTCCCC=CTC=CCCX))C________ weight of 2440 logP of 0
RCCTC(C(CTC(C)CTCOCC=CTCOC#CF))C________ weight of 2680 logP of 0
T(X)C(C#CTC(C(CTC)CC=CCC=C=CR))C________ weight of 2000 logP of 0
C=COC(C=CTC(C#CTCTCC=CCC#CTCT))C________ weight of 2400 logP of 0
FOTTC(CCCTC(C#CTC#CC=CCC#CCCR))C________ weight of 2580 logP of 0
ROCTC(C=CTC(C(CTC=CC=COC)CSCR))C________ weight of 2681 logP of 0
RN(OC(CTCTC(C=CTCCCC=COCTC)CF))C________ weight of 2710 logP of 0
XOTCC(C#CTC(C)CTC(CC=COCSC=CR))C________ weight of 2661 logP of 0
TN(OC(C#CTC(CTCTCOCC=CSC=C)CT))C________ weight of 2671 logP of 0
S(T)C(C(CTC(C)CTCOCC=CSCTC#CX))C________ weight of 2702 logP of 0
TTN=C(C(CTC(C#CTC=CC=CSCCC)CR))C________ weight of 2471 logP of 0
T(C#C(C=CTC(C(CTC#CC)C)COC#CC))C________ weight of 2260 logP of 0
ClCN=C(C#CTC(C(CTC(CC)C=C=C)CT))C________ weight of 2495 logP of 0
XTSOC(C=CTC(C(CTC=CC#C)CTC=CC))C________ weight of 2481 logP of 0
FTTCC(CSCTC(C(CTC#CC#C)COC=CR))C________ weight of 2661 logP of 0
TSN(C(C#CTC(C(CTC#CC#C)COC)CX))C________ weight of 2471 logP of 0
ClC(CC(C#CTC(C(CTC#CCTC)CTC)CR))C________ weight of 2505 logP of 0
XCC=C(C#CTC(C(CTC=CCOC)CTC#CF))C________ weight of 2460 logP of 0
CTOOC(C#CTC(C(CTC=CCTC=CCC)CR))C________ weight of 2480 logP of 0
O=CTC(COCTC(C(CTCCCCTC=CTC)CC))C________ weight of 2660 logP of 0
XN=NC(C#CTC(C(CTC#CCTCSC=CCC)))C________ weight of 2601 logP of 0
CN(CC(C=CTC(C(CTCTCCCC#COC)C)))C________ weight of 2630 logP of 0
O(T)C(C=CTC(C(CTC)CCOC#CCCOCF))C________ weight of 2700 logP of 0
C(N=C(C=CTC(C(CTC)CC#CCC#C)CX))C________ weight of 2270 logP of 0
C=C(C(C)CTC(C(CTC)CCSC=CTCTCX))C________ weight of 2521 logP of 0
XTSSC(C(CTC(C#CTC(CC)C=C)CCCT))C________ weight of 2682 logP of 0
C(T)C(C(CTC(COCTC(CC)C#C)CTCT))C________ weight of 2220 logP of 0
XCN(C(C#CTC(CCCTC(CC)C)CTC=CC))C________ weight of 2470 logP of 0
C(X)C(C(CTC(CTCTC(CCOCOC)C#C)))C________ weight of 2380 logP of 0
T=NOC(C=CTC(C#CTC(CC#CSC=C)CX))C________ weight of 2451 logP of 0
FC(OC(C#CTC(CCCTC=CCCC)C#CTCX))C________ weight of 2620 logP of 0
C(O(C(C=CTC(C#CTC=CC)CCCTC=C)))C________ weight of 2300 logP of 0
O(OOC(CTCTC(C#CTC=CCTC)C=COCR))C________ weight of 2520 logP of 0
C(#CC(CTCTC(CCCTC=CCCC)CCCCCT))C________ weight of 2740 logP of 0
FOC(C(CTCTC(C)CTC=CCOCTC=C=CF))C________ weight of 2720 logP of 0
O(CCC(CCCTC(C=CTC=CCTC#CTCOC)))C________ weight of 2620 logP of 0
TOC(C(CCCTC(COCTC=CCTC#CTCCC)))C________ weight of 2640 logP of 0
XC(=C(COCTC(COCTC=CCOCCCTCTC)))C________ weight of 2680 logP of 0
CC(CC(C)CTC(C#CTC=CCTC=CTCCCC))C________ weight of 2580 logP of 0
FTN(C(C)CTC(C#CTC=CCTC=CTCOCCl))C________ weight of 2715 logP of 0
TCC=C(C(CTC(C=CTC#CCTC#C)C=CF))C________ weight of 2280 logP of 0
TSOOC(C(CTC(C)CTC#CCTC=C=C=CX))C________ weight of 2501 logP of 0
C(OOC(C#CTC(C)CTC#CCCC=CTCOCT))C________ weight of 2620 logP of 0
RCCTC(C=CTC(C#CTC#CCCC=COCTCF))C________ weight of 2600 logP of 0
T(S(C(C=CTC(CTCTC#CCOC=CSC)C)))C________ weight of 2682 logP of 0
N(=CC(C=CTC(CCCTC#CC)CTC#CTCR))C________ weight of 2270 logP of 0
TC(CC(CTCTC(C)CTC#CCTC=COCOCF))C________ weight of 2680 logP of 0
